#def REPORTPATH=$/QAD Addons/BI Report/xxpcwoiw
#def :end
"年份";"期间";"地点代码";"地点说明";"父件代码";"父件说明";"加工单";"子件代码";"子件说明";"领料数量";"过程加工单"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-30;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-90;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-180;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-30;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-60;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-60;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-60;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-30;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33649";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-60;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"4.02.05.02.08.00";"FBLA13KH--STK9MP 2RS-556色FB/L-8牛皮裁片";-45;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-108;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-216;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-72;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-72;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-72;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33694";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-72;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-78;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"4.02.05.02.07.00";"FBLA12KG--STK9RK01 2RS-556色FB/L-7牛皮裁片";-44;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-78;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-78;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-78;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-234;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-468;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-78;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-156;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-156;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-156;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33726";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-156;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"3.02.05.02.00";"2RS-556-牛皮裁片FB/L组合 ";-18;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"4.02.05.02.06.00";"FBLA12KF--STK9RK01 2RS-556色FB/L-6牛皮裁片";-27;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"7.A1-FBL.556";"ZQ-S91组合FBL.556 ";-18;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.14.03";"81521-STK9-A000-KW-0001 2RS-3号力布，L，JH";-18;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.14.04";"81521-STK9-A000-KX-0001 2RS-4号力布，L JG";-18;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.15.01";"T104000-0000-0035-01 2RS-树脂扣，L=35";-54;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.15.02";"T104000-0000-0025-01 2RS-树脂扣，L=25";-108;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.15.03";"T104000-0000-0130-01 2RS-树脂扣，L=130";-18;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.15.04";"81121-TA08-A210-23-0000 2RS-树脂扣，H25.1 X L90";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.16.01";"81121-STK9-A110-22-0000 2RS-不织布 H30 X L240";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.16.02";"81121-STK9-A110-21-0000 2RS-不织布 H30 X L545";-36;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.23.02";"4102398-S870-A802 2RS-2号商标，NH556L";-18;""
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"33744";"8.02.27.01";"Z42101-00040-0580-25 2RS-1号魔术贴";-36;""
