#def REPORTPATH=$/QAD Addons/BI Report/xxpctrcr
#def :end
"年份";"期间";"地点代码";"地点说明";"件号";"件名";"事务类型";"数量";"不计成本数量";"计算成本数量";"成本要素代码";"成本要素说明";"总成";"均成"
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"22";"品质人工";307.2525006343;.3410127643
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"23";"制2人工";1974.2459398343;2.1911719643
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"24";"制1福利费";2301.558097599;2.554448499
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"25";"品质福利费";659.0190266422;.7314306622
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"26";"制2福利费";110.8055017691;.1229805791
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"34";"制1其他变动";4558.5315107014;5.0594134414
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"35";"品质其他变动";5807.2175422286;6.4453024886
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"36";"制2其他变动";1711.2511152071;1.8992798171
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"41";"制1折旧";16422.9671590428;18.2274885228
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"42";"品质折旧";1127.5190568782;1.2514084982
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"43";"制2折旧";6326.4034842386;7.0215354986
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-TR";901;0;901;"44";"制1其他固定";18189.1895750225;20.1877797725
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"1";"直接材料";118170.9820070428;196.6239301282
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"11";"材料价格差异";5395.2248963214;8.9770796944
2009;7;"1000";"宁波提爱思(加工区）";"2.02.05.02.00";"2RS-556色FB/L-部位 ";"RCT-WO";601;0;601;"21";"制1人工";2721.1846610352;4.5277614992
